content_id,baseline_score,action_label,reason_code
content_c8e9d6ab9013,10433.900000000001,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_453722754fea,5603.16,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_4a6607efcb46,5122.72,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_39881853ef0c,4497.36,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_d274ac4158ef,2605.52,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_e5f459e737b7,2254.52,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_339b357d04c7,1875.16,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_ca17a024f90c,1552.6000000000001,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_f986bd514b6e,1122.8,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_a38dd531fd8f,908.64,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_3dc420aa9809,897.0,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_825a9788af8d,839.3000000000001,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_8ba781dafa55,807.8000000000001,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_e06389cec5c1,782.88,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_72fdb385e810,774.4,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_5d5653c4eb4f,755.0500000000001,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_847a841969a2,725.95,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_c6999f7eb5fb,711.6,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_c82bc0c24241,683.8000000000001,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_46c51f46d26c,533.64,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_ea35d7b74f0d,476.2,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_5a46cb402872,412.2,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_9983d31c53cb,386.85,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_d3aaf7d5f2fc,386.6,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_2361643b8ff3,385.92,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_971e2a5035bc,367.16,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_5195668f06db,331.75,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_7caef6b6a306,329.70000000000005,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_388d765d2f94,326.35,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_9648b7053d6f,326.20000000000005,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_b2315c41a9c2,320.1,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_ec0e0f96eb11,311.0,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_245531f14938,295.28000000000003,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_9ee24f9f28c3,287.1,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_343b98ab5ecb,286.64,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_a736d51f09c9,277.24,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_2ea7554a4b89,257.8,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_477f7892c1f1,257.35,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_7722f40b12c1,254.9,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_e922a83d1719,250.5,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_8a1fbaf0f871,248.15,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_d6e1bbb4a996,247.75,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_03582b12af32,245.9,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_92ca79f8b232,233.35000000000002,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_50dfd64f9e8e,222.3,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_134631e65b9e,220.85000000000002,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_823ea9b9b355,218.45000000000002,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_a9b7e7614ef0,210.60000000000002,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_9b024398b4e4,209.85000000000002,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_09b0e4b05a30,207.35000000000002,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_70641aa29f3e,202.3,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_a939feaaafb0,201.25,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_90d5f9ecb7a9,198.9,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
content_1a0b27cdb6a1,198.45000000000002,REVIEW_FOR_REFRESH,HIGH_VOL_LOW_CTR_PAGE_1
